Team Stats Name,Fifa Name
Crystal Palace,Crystal Palace
Hellas Verona,Hellas Verona
Newcastle Utd,Newcastle United
Milan,Milan
Marseille,Olympique de Marseille
Levante,Levante UD
Dijon,Dijon FCO
Eint Frankfurt,Eintracht Frankfurt
Swansea City,Swansea City
Freiburg,SC Freiburg
Sassuolo,Sassuolo
Torino,Torino
Stoke City,Stoke City
Betis,Real Betis
Girona,Girona FC
Amiens,Amiens SC
Mainz 05,1. FSV Mainz 05
Udinese,Udinese
West Ham,West Ham United
Athletic Club,Athletic Club de Bilbao
Bournemouth,Bournemouth
Alavés,Deportivo Alavés
Real Sociedad,Real Sociedad
Manchester City,Manchester City
Montpellier,Montpellier HSC
Las Palmas,UD Las Palmas
Strasbourg,RC Strasbourg Alsace
Stuttgart,VfB Stuttgart
Caen,Stade Malherbe Caen
Crotone,Crotone
Dortmund,Borussia Dortmund
Hoffenheim,TSG 1899 Hoffenheim
Bayern Munich,FC Bayern München
Leverkusen,Bayer 04 Leverkusen
Getafe,Getafe CF
Barcelona,FC Barcelona
La Coruña,Deportivo de La Coruña
Lazio,Lazio
Napoli,Napoli
Hannover 96,Hannover 96
Leicester City,Leicester City
Nantes,FC Nantes
Tottenham,Tottenham Hotspur
Eibar,SD Eibar
Leganés,CD Leganés
Liverpool,Liverpool
Roma,Roma
Sevilla,Sevilla FC
Lille,LOSC Lille
Chelsea,Chelsea
Sampdoria,Sampdoria
Celta Vigo,RC Celta
Paris S-G,Paris Saint-Germain
Rennes,Stade Rennais FC
Hamburger SV,Hamburger SV
Toulouse,Toulouse Football Club
Watford,Watford
Cagliari,Cagliari
Angers,Angers SCO
Benevento,Benevento
SPAL,SPAL
Lyon,Olympique Lyonnais
Burnley,Burnley
Wolfsburg,VfL Wolfsburg
Juventus,Juventus
Villarreal,Villarreal CF
Real Madrid,Real Madrid
Metz,FC Metz
Augsburg,FC Augsburg
Fiorentina,Fiorentina
Arsenal,Arsenal
RB Leipzig,RB Leipzig
Werder Bremen,SV Werder Bremen
Köln,1. FC Köln
Southampton,Southampton
Bologna,Bologna
Troyes,ESTAC Troyes
Manchester Utd,Manchester United
Everton,Everton
Monaco,AS Monaco
Brighton,Brighton & Hove Albion
Nice,OGC Nice
Saint-Étienne,AS Saint-Étienne
Chievo,Chievo Verona
Espanyol,RCD Espanyol
Atalanta,Atalanta
West Brom,West Bromwich Albion
Málaga,Málaga CF
Bordeaux,FC Girondins de Bordeaux
M'Gladbach,Borussia Mönchengladbach
Guingamp,En Avant de Guingamp
Schalke 04,FC Schalke 04
Genoa,Genoa
Huddersfield,Huddersfield Town
Inter,Inter
Valencia,Valencia CF
Atlético Madrid,Atlético Madrid
Hertha BSC,Hertha BSC
Reims,Stade de Reims
Empoli,Empoli
Rayo Vallecano,Rayo Vallecano
Huesca,SD Huesca
Nîmes,Nîmes Olympique
Valladolid,Real Valladolid CF
Parma,Parma
Frosinone,Frosinone
Cardiff City,Cardiff City
Düsseldorf,Fortuna Düsseldorf
Fulham,Fulham
Nürnberg,1. FC Nürnberg
Wolves,Wolverhampton Wanderers
